0.01000,66.35400
0.02000,132.70800
0.03000,199.06200
0.04000,265.41500
0.05000,331.76900
0.06000,398.12300
0.06500,431.30000
0.07300,432.51000
0.08200,434.12200
0.09200,435.73500
0.10200,437.34800
0.11200,438.96100
0.12200,440.57300
0.13200,442.18600
0.14300,443.79900
0.15300,445.41200
0.16300,447.02400
0.17200,448.57000
0.18100,450.00500
0.18900,451.34800
0.19600,452.42700
0.20600,455.29800
0.22100,459.60400
0.24400,466.06300
0.27800,475.75200
0.32700,489.90400
0.37700,498.92600
0.42700,507.94800
0.45800,513.54200
0.50500,516.91600
0.55500,520.54400
0.59100,523.19200
0.64100,526.31600
0.69100,529.44000
0.72300,531.44000
0.76800,535.12100
0.79500,537.37500
0.81800,539.23200
0.83900,540.94400
0.85400,542.16500
0.87400,542.25000
0.89300,542.33300
0.91200,542.41500
0.93200,542.50000
0.95400,542.59600
0.98000,542.71100
0.98500,542.73100
0.99200,543.09400
1.00200,543.63900
1.01800,544.45700
1.04100,545.68400
1.07500,547.52300
1.10700,549.19400
1.11800,549.78800
1.13500,550.31000
1.15100,550.81900
1.16700,551.29600
1.18200,551.76800
1.19700,552.25100
1.21400,552.76800
1.23300,553.36900
1.25000,553.88900
1.27500,550.71400
1.31300,545.95000
1.34100,542.34500
1.35800,540.24400
1.37200,538.44800
1.38100,537.33100
1.39400,534.82700
1.40700,532.31200
1.42100,529.62400
1.43700,526.51400
1.45900,522.37800
1.49100,516.17400
1.51200,512.12600
1.53500,513.01600
1.55000,513.60100
1.56300,514.10900
1.57500,514.58700
1.58700,515.05900
1.59900,515.55000
1.61300,516.09100
1.62900,516.72100
1.64500,517.33800
1.66900,513.89800
1.70400,508.73800
1.71700,506.79700
1.72900,505.14800
1.73900,503.61400
1.74900,502.11100
1.76000,500.57000
1.77200,498.89800
1.77700,498.09800
1.78500,496.54500
1.79800,494.21400
1.81600,490.71900
1.84400,485.47600
1.86300,481.93700
1.87500,479.55500
1.88600,477.46900
1.89700,475.47300
1.90800,473.36500
1.91900,470.85500
1.93200,468.01900
1.94900,464.36200
1.97300,458.87600
2.01000,450.84500
2.02100,448.46200
2.03000,446.26900
2.04000,444.15700
2.05000,441.78100
2.06100,439.14100
2.07500,436.03800
2.09400,431.57900
2.12200,424.89100
2.13900,420.95200
2.15000,418.36600
2.16000,416.08400
2.16900,413.84000
2.17200,413.18700
2.17600,412.29200
2.18200,410.94800
2.19200,408.93400
2.20600,405.91200
2.22700,401.37800
2.25900,394.57900
2.27200,391.62100
2.28400,389.08200
2.29600,386.57100
2.30400,384.85400
2.31600,382.62800
2.33400,379.28900
2.36100,374.28000
2.38900,369.16500
2.40100,366.77200
2.41400,364.52700
2.42600,362.18700
2.43500,360.55600
2.44800,354.26400
2.46800,344.82600
2.49800,330.66800
2.51100,324.46200
2.52300,318.79700
2.53500,312.87300
2.55000,305.68000
2.56700,297.57100
2.59200,274.53600
2.60800,260.63700
2.62000,249.64900
2.63200,238.68000
2.64600,226.02600
2.66700,207.04500
2.69900,178.28800
2.71900,164.64500
2.73300,155.39400
2.74700,146.22100
2.76300,135.24100
2.78800,118.77100
2.82500,94.06600
2.83100,89.88900
2.84000,86.54500
2.85400,81.62100
2.87100,75.49200
2.89700,66.29700
2.92600,55.97500
2.94000,50.82800
2.95500,45.58200
2.96200,43.06600
2.97300,41.15100
2.98800,38.27900
3.01200,33.97000
3.03300,30.25900
3.04900,27.28700
3.06700,23.99400
3.09400,19.12600
3.13400,16.03600
3.15200,14.68000
3.17000,13.29200
3.19700,11.25100
3.22600,8.99500
3.25000,7.35700
3.27000,6.02900
3.29000,4.62000
3.32100,2.50700
